id_infraccion,tipo_infraccion,categoria_gravedad,modalidad_transporte,descripcion,norma_aplicable,articulo,tipo_penalidad,monto_min,monto_max,unidad_calculo,sujeto_responsable,ambito_constatacion,medida_preventiva,vigencia_desde,fuente_oficial,url_oficial,observaciones
CNRT-P001,Servicio sin permiso o habilitacion,Muy grave,Pasajeros,"Realizar transporte automotor de pasajeros de jurisdiccion nacional sin permiso, autorizacion, habilitacion o inscripcion en el Registro Nacional.",Dec. 253/95 Anexo Sec. II Tit. I,Art. 28,Multa + Caducidad o Suspension + Retencion del vehiculo,250,5000,boletos minimos,Empresa,"CNRT, Gendarmeria en rutas nacionales",Paralizacion y retencion (Art. 74),1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Minimo legal 250 boletos minimos (Art. 7 mod. Dec. 818/18). Reincidencia 2 anios duplica monto.
CNRT-P002,Servicio bajo modalidad distinta a la autorizada,Muy grave,Pasajeros,Prestar servicios bajo modalidad diferente a la autorizada (ej. servicio regular bajo figura de oferta libre o turismo).,Dec. 253/95 Anexo,Art. 29,Multa + posible Caducidad,500,5000,boletos minimos,Empresa,"CNRT, Gendarmeria",Paralizacion del servicio,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Extrema gravedad si afecta seguridad de usuarios.
CNRT-P003,Vehiculo sin habilitacion o RTO vencida,Grave,Pasajeros,Afectar al servicio un vehiculo sin habilitacion vigente o con Revision Tecnica Obligatoria CNRT vencida.,Dec. 253/95 + Res. CNRT RTO,Art. 31 inc. a,Multa + Retencion + Desafectacion,250,2000,boletos minimos,"Vehiculo, Empresa","CNRT, Gendarmeria",Retencion del vehiculo,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Consulta talleres y RTO en servicios.cnrt.gob.ar
CNRT-P004,Conductor sin LiNTI,Grave,Pasajeros,Conducir vehiculo afectado al transporte interjurisdiccional sin Licencia Nacional de Transporte Interjurisdiccional vigente o sin curso CENCONET aprobado.,Dec. 253/95 + Disp. ANSV 48/19,Art. 32 inc. a,Multa + Inhabilitacion temporal,250,1500,boletos minimos,Conductor,"CNRT, Gendarmeria",Desafectacion del conductor,2019-02-11,Disp. ANSV 48/19,https://www.argentina.gob.ar/normativa/nacional/disposicion-48-2019-320249,"Categoria C, D o E segun vehiculo."
CNRT-P005,Conducta imprudente o negligente del conductor,Grave,Pasajeros,"Maniobras riesgosas, exceso de velocidad, transgresion a reglamentaciones especificas de circulacion.",Dec. 253/95 + Ley 24.449,Art. 3 inc. b,Multa + Inhabilitacion temporal,100,1000,boletos minimos,Conductor,"CNRT, Gendarmeria, ANSV",Inhabilitacion temporal,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Reincidencia duplica el monto.
CNRT-P006,Exceso de pasajeros,Grave,Pasajeros,Llevar mas pasajeros que los autorizados segun capacidad habilitada del vehiculo.,Dec. 253/95,Art. 33,Multa + posible Retencion,200,1500,boletos minimos,"Empresa, Conductor","CNRT, Gendarmeria",Retencion del vehiculo,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,"Aplica a urbanos, suburbanos y larga distancia jurisdiccion nacional."
CNRT-P007,Cobro de boleto por el conductor,Leve,Pasajeros,Conductor de servicios urbanos o suburbanos de jurisdiccion nacional que realiza expendio o cobro de boletos.,Dec. 253/95 + Dec. 656/94,Art. 36,Apercibimiento o Multa,50,300,boletos minimos,"Conductor, Empresa",CNRT,,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Prohibicion explicita: conductor solo conduce.
CNRT-P008,Incumplimiento de horarios o frecuencias,Leve,Pasajeros,Incumplir horarios o frecuencias del servicio autorizado.,Dec. 253/95,Art. 30 inc. b,Apercibimiento o Multa,50,500,boletos minimos,Empresa,CNRT,,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Leve sin reincidencia.
CNRT-P009,No emision de boleto o factura al pasajero,Leve,Pasajeros,"No entregar boleto, comprobante de pasaje o factura al pasajero.",Dec. 253/95,Art. 35,Apercibimiento o Multa,30,300,boletos minimos,"Empresa, Conductor",CNRT,,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,"Derecho del usuario, boleto como prueba del contrato."
CNRT-P010,Suspension arbitraria del servicio,Grave,Pasajeros,Suspender el servicio sin autorizacion ni causa justificada de la Autoridad de Aplicacion.,Dec. 253/95,Art. 30 inc. c,Multa + Suspension del permiso,200,2000,boletos minimos,Empresa,CNRT,Paralizacion,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Afecta el servicio publico comprometido.
CNRT-P011,Sin seguro obligatorio vigente,Grave,Pasajeros,Circular sin poliza de seguro obligatorio del pasajero o responsabilidad civil vigente.,Dec. 253/95 + Ley 24.449 art. 68,Art. 31 inc. c,Multa + Retencion,250,1500,boletos minimos,Empresa,"CNRT, Gendarmeria",Retencion del vehiculo,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Seguro obligatorio Ley 24.449 art. 68.
CNRT-P012,Transporte escolar - infraccion agravada,Muy grave,Pasajeros,Cualquiera de las infracciones cometidas en prestacion de transporte escolar de jurisdiccion nacional.,Dec. 253/95,Art. 38,Multa agravada + Caducidad,500,5000,boletos minimos,Empresa,CNRT,Paralizacion,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Agravante por edad del pasajero protegido.
CNRT-P013,Negativa o entorpecimiento de fiscalizacion,Grave,Pasajeros,Negarse a exhibir documentacion o entorpecer la labor de inspectores CNRT o fuerzas de seguridad.,Dec. 253/95,Art. 3 inc. c,Multa,200,1500,boletos minimos,"Empresa, Conductor","CNRT, Gendarmeria",,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Obligacion de proveer documentacion (Art. 22).
CNRT-P014,"Tacografo inexistente, no operativo o adulterado",Grave,Pasajeros,"Vehiculo sin tacografo, no operativo, sin disco o con registros alterados.",Dec. 253/95 + Ley 24.449 art. 33,Art. 31 inc. b,Multa + Retencion,250,1500,boletos minimos,"Vehiculo, Empresa","CNRT, Gendarmeria",Retencion,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,"Equipamiento obligatorio, control de jornada."
CNRT-P015,Alcoholemia en transporte profesional,Muy grave,Pasajeros,Conductor de transporte de pasajeros con alcoholemia mayor a 0 g/L (tolerancia cero).,Ley 24.449 art. 48 inc. a + Dec. 253/95,Art. 39,Multa + Inhabilitacion + Desafectacion inmediata,500,5000,boletos minimos,Conductor,"CNRT, Gendarmeria, ANSV",Desafectacion inmediata,1995-09-08,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Tolerancia cero servicio publico.
