id_infraccion,tipo_infraccion,categoria_gravedad,modalidad_transporte,descripcion,norma_aplicable,articulo,tipo_penalidad,monto_min,monto_max,unidad_calculo,sujeto_responsable,ambito_constatacion,medida_preventiva,vigencia_desde,fuente_oficial,url_oficial,observaciones
CNRT-C001,Sin Carta de Porte Electronica o CTG,Grave,Cargas,Circular sin Carta de Porte Electronica o Codigo de Trazabilidad de Granos cuando corresponde.,Ley 24.653 + Res. AFIP-CNRT,Art. 7 Ley 24.653,Multa + Retencion,20,500,UF CNRT,"Empresa, Conductor","CNRT, Gendarmeria, AFIP",Retencion de la carga o vehiculo,2002-06-19,Ley 24.653,https://www.argentina.gob.ar/normativa/nacional/decreto-1035-2002-75178/actualizacion,"NO confundir con RUTA, derogado por Dec. 1109/24."
CNRT-C002,Exceso de peso bruto total o por eje,Grave,Cargas,Circular con peso bruto y/o por eje superior al maximo permitido. Tolerancia 3 por ciento PBT y 5 por ciento por eje.,Ley 24.449 + Dec. 779/95 + Dec. 32/18,Anexo R Dec. 779/95,Multa + Retencion + Reduccion de carga,50,1000,UF CNRT,"Empresa, Vehiculo","CNRT, Gendarmeria, Vialidad",Retencion hasta normalizar peso,1995-11-20,Dec. 779/95,https://www.argentina.gob.ar/normativa/nacional/decreto-779-1995-30387,"Basculas operativas en RN 9, RN 38, RN 157 (Tucuman)."
CNRT-C003,Exceso de dimensiones,Grave,Cargas,Vehiculo o carga que excede dimensiones maximas reglamentarias sin permiso especial de DNV.,Ley 24.449 art. 53 + Dec. 779/95,Art. 53 Ley 24.449,Multa + Retencion,30,500,UF CNRT,"Empresa, Conductor","CNRT, Gendarmeria",Retencion del vehiculo,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Cargas indivisibles requieren permiso especial DNV.
CNRT-C004,Mercancias peligrosas sin habilitacion,Muy grave,Cargas,"Transporte de mercancias peligrosas sin habilitacion especifica del vehiculo, conductor o sin documentacion (libro de ruta, panel naranja, kit derrame).",Dec. 779/95 Anexo S + Ley 24.653,Reg. Gral. Anexo S,Multa + Retencion + Inhabilitacion,100,2000,UF CNRT,"Empresa, Conductor, Vehiculo","CNRT, Gendarmeria",Retencion inmediata vehiculo y carga,1995-11-20,Dec. 779/95,https://www.argentina.gob.ar/normativa/nacional/decreto-779-1995-30387,Reglamento General Mercancias Peligrosas por Carretera.
CNRT-C005,Conductor sin LiNTI cargas,Grave,Cargas,Conducir vehiculo de cargas de jurisdiccion nacional sin LiNTI vigente o sin CENCONET.,Ley 24.449 + Disp. ANSV 48/19,Art. 13 Ley 24.449,Multa + Inhabilitacion,30,500,UF CNRT,Conductor,"CNRT, Gendarmeria",Desafectacion,2019-02-11,Disp. ANSV 48/19,https://www.argentina.gob.ar/normativa/nacional/disposicion-48-2019-320249,"Categoria C, D, E o E1 segun tipo de vehiculo."
CNRT-C006,Tacografo ausente o registros falsificados,Grave,Cargas,"Vehiculo sin tacografo, no operativo o con registros alterados.",Ley 24.449 art. 33 + Dec. 779/95,Art. 33 Ley 24.449,Multa + Retencion,30,500,UF CNRT,"Empresa, Vehiculo","CNRT, Gendarmeria",Retencion,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Obligatorio en cargas mas de 3500 kg.
CNRT-C007,RTO CNRT vencida o inexistente cargas,Grave,Cargas,Vehiculo de cargas circulando sin Revision Tecnica Obligatoria CNRT vigente.,Ley 24.449 art. 34 + Res. CNRT RTO,Art. 34 Ley 24.449,Multa + Retencion,30,300,UF CNRT,"Vehiculo, Empresa","CNRT, Gendarmeria",Retencion hasta acreditar RTO,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Talleres habilitados publicados por CNRT.
CNRT-C008,Transporte internacional sin permiso ATIT,Muy grave,Cargas,Realizar transporte internacional terrestre sin permiso CNRT ni documentacion del Acuerdo ATIT-ALADI.,ATIT + Dec. 779/95 Anexo T,Segundo Protocolo Adic. ALADI,Multa + Caducidad + Retencion,100,2000,UF CNRT,Empresa,"CNRT, Aduana, Gendarmeria",Retencion,1990-04-01,ATIT-ALADI,https://www.argentina.gob.ar/transporte/cnrt/normativa,Sanciones segun protocolo ALADI.
CNRT-C009,Negativa a pesaje o fuga en balanza,Grave,Cargas,Conductor que se niega al control en estacion de pesaje o se da a la fuga.,Ley 24.449 + Dec. 779/95,Art. 53 Ley 24.449,Multa + Retencion + Inhabilitacion,50,1000,UF CNRT,"Conductor, Empresa","CNRT, Gendarmeria",Retencion,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Agravante por evasion del control.
CNRT-C010,Bitren sin habilitacion o fuera de ruta autorizada,Grave,Cargas,Circular configuracion bitren o escalable sin habilitacion especifica o por rutas no autorizadas por DNV.,Dec. 32/2018,Art. 27 Dec. 32/18,Multa + Retencion,100,1500,UF CNRT,"Empresa, Vehiculo","CNRT, Gendarmeria, Vialidad",Retencion,2018-01-18,Dec. 32/18,https://www.argentina.gob.ar/normativa/nacional/decreto-32-2018-305684,Configuraciones autorizadas publicadas por DNV.
