id_infraccion,tipo_infraccion,categoria_gravedad,modalidad_transporte,descripcion,norma_aplicable,articulo,tipo_penalidad,monto_min,monto_max,unidad_calculo,sujeto_responsable,ambito_constatacion,medida_preventiva,vigencia_desde,fuente_oficial,url_oficial,observaciones
CNRT-T001,Exceso de velocidad transporte profesional,Grave,Ambos,Conductor de transporte interjurisdiccional superando el maximo permitido para su categoria.,Ley 24.449,Art. 51,Multa + Inhabilitacion,100,1500,boletos minimos o UF,Conductor,"Gendarmeria, ANSV, CNRT",Inhabilitacion temporal,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Para omnibus y cargas: limites menores que vehiculos particulares.
CNRT-T002,Cruce de semaforo en rojo,Grave,Ambos,Conductor profesional que cruza interseccion con semaforo en rojo.,Ley 24.449,Art. 49,Multa + Inhabilitacion,100,1500,boletos minimos o UF,Conductor,"Gendarmeria, ANSV, CNRT",Inhabilitacion temporal,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,"Falta grave, agravante por servicio profesional."
CNRT-T003,Uso de celular sin manos libres,Grave,Ambos,Conducir hablando por celular sin sistema manos libres.,Ley 24.449,Art. 48 inc. x,Multa,50,500,boletos minimos o UF,Conductor,"Gendarmeria, ANSV, CNRT",,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,"Prohibido a todo conductor; en transporte profesional, agravado."
CNRT-T004,Adelantamiento indebido en transporte,Grave,Ambos,"Adelantamiento prohibido (curvas, puentes, doble linea amarilla) con vehiculo de transporte.",Ley 24.449,Art. 42,Multa + Inhabilitacion,100,1000,boletos minimos o UF,Conductor,"Gendarmeria, ANSV",Inhabilitacion temporal,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Mayor riesgo por dimensiones y peso del vehiculo.
CNRT-T005,Conductor de transporte profesional menor de 21,Grave,Ambos,Conducir vehiculo de transporte profesional siendo menor de 21 anios o sin antiguedad de licencia requerida.,Ley 24.449,Art. 13,Multa + Inhabilitacion + Desafectacion,100,1000,boletos minimos o UF,"Conductor, Empresa","CNRT, Gendarmeria, ANSV",Desafectacion inmediata,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Edad minima y antiguedad de licencia profesional.
CNRT-CM01,Sin matafuegos o extintores vigentes,Leve,Ambos,Vehiculo sin matafuegos o con carga vencida.,Ley 24.449 art. 30 + Dec. 253/95,Tit. III Anexo,Apercibimiento o Multa,20,200,boletos minimos o UF,"Vehiculo, Empresa","CNRT, Gendarmeria",,1995-09-08,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Elemento obligatorio de seguridad.
CNRT-CM02,Cinturones de seguridad inexistentes o daniados,Leve,Ambos,"Vehiculo con cinturones inexistentes, daniados o no utilizados por conductor o pasajeros.",Ley 24.449 art. 40 inc. k + Dec. 779/95,Tit. III Anexo,Apercibimiento o Multa,20,200,boletos minimos o UF,"Conductor, Empresa","CNRT, Gendarmeria, ANSV",,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Obligatorio para conductor y pasajeros.
CNRT-CM03,Reincidencia regla general,Variable,Ambos,"Falta de igual naturaleza dentro de 2 anios de la sancion anterior, DUPLICA el monto original.",Dec. 253/95,Art. 8 y 9,Duplicacion del monto original,,,boletos minimos o UF,"Empresa, Conductor",CNRT,,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,"Regla aplicable, no infraccion autonoma. Puede superar tope Ley 21.844."
CNRT-CM04,Incumplimiento de medidas preventivas,Muy grave,Ambos,"Continuar prestando servicio pese a paralizacion, desafectacion o retencion dispuesta.",Dec. 253/95 + Dec. 1395/98,Art. 74,Multa + Suspension o Caducidad,500,5000,boletos minimos o UF,Empresa,CNRT,Paralizacion inmediata,1998-12-04,Dec. 1395/98,https://servicios.infoleg.gob.ar/infolegInternet/anexos/50000-54999/54717/norma.htm,Faculta a la Autoridad para medidas urgentes.
CNRT-CM05,Adulteracion de documentacion habilitante,Muy grave,Ambos,"Presentar documentacion adulterada o falsificada (RTO, seguro, LiNTI, Carta de Porte).",Dec. 253/95 + C. Penal arts. 292 y 293,Art. 12,Multa + Caducidad + Denuncia penal,1000,5000,boletos minimos o UF,"Empresa, Conductor","CNRT, Gendarmeria, Justicia",Retencion + denuncia penal,1995-09-08,Dec. 253/95,https://www.argentina.gob.ar/normativa/nacional/decreto-253-1995-25297/actualizacion,Habilita caducidad sin reincidencia previa.
CNRT-CM06,Sistemas de seguridad en mal estado,Grave,Ambos,"Frenos, direccion, luces o sistema electrico en mal estado constatado por inspeccion.",Ley 24.449 art. 29 + Dec. 779/95,Art. 31 inc. a Dec. 253/95,Multa + Retencion inmediata,200,1500,boletos minimos o UF,"Vehiculo, Empresa","CNRT, Gendarmeria",Retencion,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Inspeccion tecnica en operativo.
CNRT-CM07,Identificacion vehicular alterada o ilegible,Leve,Ambos,"Dominio o patente ilegible, alterado, no exhibido o sin identificacion de la empresa.",Ley 24.449 art. 26 + Dec. 779/95,Art. 26 Ley 24.449,Multa,20,200,boletos minimos o UF,"Vehiculo, Empresa","CNRT, Gendarmeria, ANSV",,1995-02-10,Ley 24.449,https://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/818/texact.htm,Identificacion de empresa obligatoria.
CNRT-CM08,Servicio sin informacion obligatoria al usuario,Leve,Pasajeros,"No exhibir tarifa autorizada, libro de quejas o informacion obligatoria al usuario.",Dec. 253/95 + Disp. CNRT 127/25,Tit. III Anexo,Apercibimiento o Multa,20,300,boletos minimos,Empresa,CNRT,,2025-02-27,Disp. CNRT 127/25,https://www.argentina.gob.ar/normativa/nacional/disposicion-127-2025,"Derechos del usuario, Ley 24.240."
